Error: URL for ticker 'MSFT' does not exist. Status code: 301
         464555 function calls (440614 primitive calls) in 1.152 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      335    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      323    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      323    0.001    0.000    0.002    0.000 typing_extensions.py:3228(_collect_parameters)
      323    0.000    0.000    0.001    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      311    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
      302    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    300/6    0.001    0.000    0.218    0.036 <frozen importlib._bootstrap>:1349(_find_and_load)
    299/5    0.001    0.000    0.218    0.044 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      299    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      299    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      299    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      298    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      293    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      293    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      292    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      288    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
      287    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      287    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
      285    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      282    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      275    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      274    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      274    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      274    0.001    0.000    0.086    0.000 __init__.py:280(_compile)
    269/5    0.001    0.000    0.217    0.043 <frozen importlib._bootstrap>:911(_load_unlocked)
  269/266    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      269    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      269    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      261    0.000    0.000    0.086    0.000 __init__.py:226(compile)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      250    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      248    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      246    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      242    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
  241/235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      240    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      240    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
      240    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      240    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      240    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      240    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      240    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    240/5    0.000    0.000    0.217    0.043 <frozen importlib._bootstrap_external>:989(exec_module)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      240    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
  225/156    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      218    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
  214/174    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      213    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
      206    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      198    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      194    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      194    0.000    0.000    0.051    0.000 _parser.py:969(parse)
      194    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
      194    0.001    0.000    0.083    0.000 _compiler.py:740(compile)
      194    0.000    0.000    0.031    0.000 _compiler.py:573(_code)
      194    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      194    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      194    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      190    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
      185    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
      185    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
      180    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      179    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      179    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      177    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      175    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      171    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
  155/100    0.000    0.000    0.075    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      151    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      148    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      147    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
      146    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
  146/107    0.000    0.000    0.005    0.000 typing.py:508(__getitem__)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      129    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      123    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
      123    0.000    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      123    0.000    0.000    0.000    0.000 enum.py:251(__init__)
      121    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
      119    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
      119    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
      115    0.000    0.000    0.000    0.000 typing_extensions.py:3105(_check_generic)
      114    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      113    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
      113    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      112    0.000    0.000    0.000    0.000 _urlparse.py:223(<genexpr>)
      112    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      109    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
      107    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      107    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      107    0.000    0.000    0.004    0.000 typing.py:687(Union)
      106    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
      106    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
      106    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
      106    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
      105    0.000    0.000    0.000    0.000 enum.py:1292(value)
      104    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      103    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      102    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       98    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       94    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       94    0.000    0.000    0.007    0.000 dataclasses.py:449(_create_fn)
       91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       91    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       91    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
       90    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
       88    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       87    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
       87    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       86    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       84    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
    83/82    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       82    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
       82    0.000    0.000    0.000    0.000 dataclasses.py:1142(<genexpr>)
       81    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       81    0.000    0.000    0.000    0.000 typing.py:1061(<genexpr>)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       75    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
       75    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       74    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       74    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
       74    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       69    0.000    0.000    0.000    0.000 typing.py:2476(overload)
       69    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       64    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       61    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
       61    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
       61    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
       59    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       58    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
       57    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    56/49    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
    56/16    0.001    0.000    0.011    0.001 css_parser.py:925(parse_selectors)
       55    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
