Error: URL for ticker 'MSFT' does not exist. Status code: 301
         464501 function calls (440570 primitive calls) in 1.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.665    0.665 connection.py:105(_connect)
        2    0.000    0.000    0.038    0.019 _synchronization.py:1(<module>)
       25    0.000    0.000    0.000    0.000 dataclasses.py:250(_recursive_repr)
      261    0.000    0.000    0.087    0.000 __init__.py:226(compile)
      113    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
        1    0.000    0.000    0.002    0.002 _urlparse.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        1    0.000    0.000    0.052    0.052 dammit.py:1(<module>)
       91    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      863    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
  146/107    0.000    0.000    0.005    0.000 typing.py:508(__getitem__)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      388    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        6    0.000    0.000    0.204    0.034 http11.py:209(_receive_event)
        3    0.000    0.000    0.001    0.000 typing.py:2780(__new__)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       10    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
     1226    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.018    0.009 _sockets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       26    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       30    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
      447    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      282    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
      448    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        7    0.000    0.000    0.000    0.000 inspect.py:2366(_signature_from_function)
      470    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      737    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
    43/15    0.000    0.000    0.114    0.008 {built-in method builtins.__import__}
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       29    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        3    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
