('Total Revenue', '281,724,000', '211,915,000', '281,724,000', '245,122,000', '198,270,000')
         897813 function calls (873520 primitive calls) in 4.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
       64    0.000    0.000    0.003    0.000 typing.py:687(Union)
      599    0.000    0.000    0.001    0.000 filter.py:629(_match_attribute_value_helper)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      141    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
      191    0.000    0.000    0.035    0.000 _compiler.py:573(_code)
  772/706    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  193/190    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      871    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      152    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
  213/177    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      141    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
     1395    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       28    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
      501    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       41    0.000    0.000    0.628    0.015 response.py:1202(read_chunked)
     1086    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      322    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      745    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      504    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       70    0.000    0.000    2.451    0.035 {method 'readline' of '_io.BufferedReader' objects}
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
     1084    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      143    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     2981    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:669(reset)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      152    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
       62    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
  167/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       54    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      741    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      322    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      333    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      206    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
    69/38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      200    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      310    0.000    0.000    0.098    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       40    0.000    0.000    0.621    0.016 response.py:1180(_handle_chunk)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       64    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      413    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      191    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       53    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      258    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.008    0.003 utils.py:1(<module>)
        8    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      530    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      324    0.000    0.000    0.000    0.000 socket.py:732(readable)
        5    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
